name,source,family,arch,img_size,batch_size,global_batch_size,lr,dropout,weight_decay,label_smoothing,best_val_acc,best_epoch,test_acc,run_dir,cfg_hash,epochs,val_split
MobileNetV2 (cde8b1),single_arch,MobileNetV2,MobileNetV2,224,6,16,5e-05,0.2,0.0001,0.03,0.9736456808199122,19,0.9336455893832944,~/Alzheimers/Results/ArchSweep/MobileNetV2/cde8b1c120,cde8b1c120,20,0.2
MobileNetV2 (e7eeb0),single_arch,MobileNetV2,MobileNetV2,224,6,16,5e-05,0.0,0.0001,0.03,0.9731576378721328,19,0.9336455893832944,~/Alzheimers/Results/ArchSweep/MobileNetV2/e7eeb04f29,e7eeb04f29,20,0.2
MobileNetV2 (026eb4),single_arch,MobileNetV2,MobileNetV2,224,6,16,2.5e-05,0.0,0.0001,0.03,0.9609565641776476,19,0.92583918813427,~/Alzheimers/Results/ArchSweep/MobileNetV2/026eb413c6,026eb413c6,20,0.2
EffNetB0 (d71b3b),single_arch,EffNet,EffNetB0,224,6,16,2.5e-05,0.0,0.0001,0.03,0.956564177647633,19,0.9172521467603436,~/Alzheimers/Results/ArchSweep/EffNetB0/d71b3bb094,d71b3bb094,20,0.2
MobileNetV3_L (aa2d36),single_arch,MobileNetV3,MobileNetV3_L,224,6,16,2.5e-05,0.0,0.0001,0.03,0.9629087359687653,20,0.9156908665105388,~/Alzheimers/Results/ArchSweep/MobileNetV3_L/aa2d36acb7,aa2d36acb7,20,0.2
MobileNetV2 (6347ad),single_arch,MobileNetV2,MobileNetV2,224,6,16,2.5e-05,0.2,0.0001,0.03,0.9643728648121036,19,0.907103825136612,~/Alzheimers/Results/ArchSweep/MobileNetV2/6347ad6a5f,6347ad6a5f,20,0.2
EffNetB0 (631fd5),single_arch,EffNet,EffNetB0,224,6,16,2.5e-05,0.2,0.0001,0.03,0.9560761346998536,20,0.9024199843871976,~/Alzheimers/Results/ArchSweep/EffNetB0/631fd5fccb,631fd5fccb,20,0.2
CNN_Small (14fa3a),single_arch,CNN_Small,CNN_Small,224,6,16,0.0001,0.0,0.0001,0.03,0.5588091752074182,19,0.4605776736924278,~/Alzheimers/Results/ArchSweep/CNN_Small/14fa3aa183,14fa3aa183,20,0.2
CNN_Small (cf5312),single_arch,CNN_Small,CNN_Small,224,6,16,2.5e-05,0.2,0.0001,0.03,0.3596876525134211,14,0.4285714285714285,~/Alzheimers/Results/ArchSweep/CNN_Small/cf5312fcc0,cf5312fcc0,20,0.2
CNN_Small (6932f1),single_arch,CNN_Small,CNN_Small,224,6,16,0.0001,0.2,0.0001,0.03,0.5510004880429478,20,0.4160811865729898,~/Alzheimers/Results/ArchSweep/CNN_Small/6932f193c1,6932f193c1,20,0.2
CNN_Small (e49d04),single_arch,CNN_Small,CNN_Small,224,6,16,5e-05,0.0,0.0001,0.03,0.4865788189360663,20,0.3973458235753317,~/Alzheimers/Results/ArchSweep/CNN_Small/e49d045a42,e49d045a42,20,0.2
CNN_Small (29726b),single_arch,CNN_Small,CNN_Small,224,6,16,5e-05,0.2,0.0001,0.03,0.4587603709126403,20,0.3497267759562841,~/Alzheimers/Results/ArchSweep/CNN_Small/29726b041d,29726b041d,20,0.2
CNN_Small (bf51b7),single_arch,CNN_Small,CNN_Small,224,6,16,2.5e-05,0.0,0.0001,0.03,0.3494387506100537,3,0.3192818110850898,~/Alzheimers/Results/ArchSweep/CNN_Small/bf51b75485,bf51b75485,20,0.2
